z,x,y,file,status,lat_min,lon_min,lat_max,lon_max
19,82536,181264,tiles_z19_v2/82536_181264.jpg,OK,48.450610193358266,-123.3270263671875,48.451065619532145,-123.32633972167969
19,82536,181265,tiles_z19_v2/82536_181265.jpg,OK,48.45015476309973,-123.3270263671875,48.450610193358266,-123.32633972167969
19,82537,181259,tiles_z19_v2/82537_181259.jpg,OK,48.45288728338135,-123.32633972167969,48.453342689132114,-123.32565307617188
19,82537,181260,tiles_z19_v2/82537_181260.jpg,OK,48.45243187354598,-123.32633972167969,48.45288728338135,-123.32565307617188
19,82537,181261,tiles_z19_v2/82537_181261.jpg,OK,48.451976459625996,-123.32633972167969,48.45243187354598,-123.32565307617188
19,82537,181262,tiles_z19_v2/82537_181262.jpg,OK,48.45152104162138,-123.32633972167969,48.451976459625996,-123.32565307617188
19,82537,181263,tiles_z19_v2/82537_181263.jpg,OK,48.451065619532145,-123.32633972167969,48.45152104162138,-123.32565307617188
19,82537,181264,tiles_z19_v2/82537_181264.jpg,OK,48.450610193358266,-123.32633972167969,48.451065619532145,-123.32565307617188
19,82537,181265,tiles_z19_v2/82537_181265.jpg,OK,48.45015476309973,-123.32633972167969,48.450610193358266,-123.32565307617188
19,82538,181259,tiles_z19_v2/82538_181259.jpg,OK,48.45288728338135,-123.32565307617188,48.453342689132114,-123.32496643066406
19,82538,181260,tiles_z19_v2/82538_181260.jpg,OK,48.45243187354598,-123.32565307617188,48.45288728338135,-123.32496643066406
19,82538,181261,tiles_z19_v2/82538_181261.jpg,OK,48.451976459625996,-123.32565307617188,48.45243187354598,-123.32496643066406
19,82538,181262,tiles_z19_v2/82538_181262.jpg,OK,48.45152104162138,-123.32565307617188,48.451976459625996,-123.32496643066406
19,82538,181263,tiles_z19_v2/82538_181263.jpg,OK,48.451065619532145,-123.32565307617188,48.45152104162138,-123.32496643066406
19,82538,181264,tiles_z19_v2/82538_181264.jpg,OK,48.450610193358266,-123.32565307617188,48.451065619532145,-123.32496643066406
19,82538,181265,tiles_z19_v2/82538_181265.jpg,OK,48.45015476309973,-123.32565307617188,48.450610193358266,-123.32496643066406
